,n_speakers,glottocode
0,0,klin1234
1,0,zapa1253
2,0,matt1238
3,0,wail1244
4,0,corn1251
5,0,part1239
6,0,gala1252
7,0,eyak1241
8,0,kiow1264
9,0,tagi1240
10,0,sire1246
11,0,aves1237
12,0,tran1289
13,0,khwa1238
14,0,chur1257
15,0,clal1241
16,0,jewi1240
17,0,oroc1248
18,0,livv1244
19,0,kott1239
20,0,yeva1238
21,0,yuro1248
22,0,berb1259
23,0,olds1250
24,0,idoo1234
25,0,oldr1238
26,0,akka1237
27,0,oldi1245
28,0,elym1237
29,0,akab1248
30,0,akka1240
31,0,dalm1243
32,0,fali1291
33,0,gaga1251
34,0,goth1244
35,0,etru1241
36,0,kemi1239
37,0,lusi1235
38,0,kama1351
39,0,lepo1240
40,0,copt1239
41,0,midd1317
42,0,kulo1237
43,0,raet1238
44,0,oldn1246
45,0,pali1273
46,0,pola1255
47,0,sume1241
48,0,tart1237
49,0,slov1270
50,0,chag1247
51,0,vand1245
52,0,vene1257
53,0,wiyo1248
54,0,zarp1238
55,0,celt1247
56,0,lite1248
57,0,olde1238
58,0,ronc1236
59,0,zemg1234
60,0,beot1247
61,0,yugh1239
62,0,shua1252
63,0,wich1260
64,0,kits1249
65,0,akur1238
66,0,elmo1238
67,0,tupi1273
68,0,tupi1274
69,0,east2805
70,0,sogd1245
71,0,yama1264
72,0,midd1343
73,0,pict1238
74,0,pech1242
75,0,iton1250
76,0,west3001
77,100,unse1236
78,35,meno1252
79,80,ahte1237
80,70,anus1237
81,40,dege1248
82,75,tana1289
83,50,nauk1242
84,35,uppe1438
85,100,uppe1437
86,43,enet1250
87,29,voti1245
88,62,voti1245
89,55,cayu1261
90,44,chul1246
91,75,chic1270
92,90,haid1248
93,50,kora1289
94,100,kute1249
95,82,itel1242
96,74,negi1245
97,80,kara1464
98,47,orok1265
99,50,prus1238
100,50,maca1262
101,50,inte1260
102,35,paca1245
103,100,prin1242
104,93,kara1462
105,25,pite1240
106,50,pite1240
107,40,nort2745
108,100,nupo1240
109,35,mari1440
110,100,umes1235
111,70,wymy1235
112,50,sout2750
113,33,iowa1245
114,50,bara1357
115,66,bell1263
116,70,kava1241
117,100,tari1256
118,55,onei1249
119,81,arao1248
120,30,jebe1250
121,40,onon1246
122,100,sene1264
123,50,kota1280
124,50,arii1243
125,100,alab1237
126,75,plai1235
127,100,pyuu1245
128,23,lara1258
129,50,arab1268
130,35,iqui1243
131,100,goon1238
132,90,iten1243
133,82,isco1239
134,52,yidi1250
135,45,kash1280
136,27,koru1247
137,54,kwaz1243
138,70,orej1242
139,50,sooo1256
140,91,japr1238
141,60,mash1270
142,30,mala1544
143,30,wira1262
144,90,kumb1268
145,50,mirn1241
146,50,nort2691
147,45,broo1238
148,60,gura1252
149,90,heil1246
150,32,kuli1255
151,50,moro1289
152,92,mudb1240
153,58,naka1260
154,30,pamm1242
155,50,sala1269
156,30,yamd1240
157,95,yahu1241
158,30,yawu1244
159,30,amii1238
160,20,mari1422
161,20,mari1421
162,20,mari1423
163,35,ibuu1240
164,25,umat1237
165,40,como1259
166,26,kart1247
167,50,yulp1239
168,50,yulp1238
169,25,mand1416
170,97,beic1238
171,62,sivi1235
172,70,miya1268
173,62,dhal1246
174,30,gosi1242
175,70,noak1234
176,70,hati1234
177,1,tagi1240
178,2,tagi1240
179,1,itel1242
180,2,omag1248
181,1,chin1272
182,1,yugh1239
183,0,midd1316
184,0,mino1236
185,0,nege1244
186,1,taus1253
187,0,omur1241
188,0,taiv1237
189,0,pent1242
190,0,cayu1241
191,1,squa1248
192,0,skep1238
193,0,ngur1260
194,0,osag1243
195,0,cost1250
196,0,djiw1239
197,0,djiw1241
198,0,oldp1253
199,0,ando1255
200,0,akaj1239
201,0,cahu1268
202,0,umbu1235
203,1,tini1245
204,0,cayu1262
205,0,chic1271
206,0,urub1243
207,0,neuc1242
208,0,amar1271
209,0,plai1259
210,1,nort2966
211,0,oldw1238
212,0,aush1242
213,0,akak1251
214,0,zhan1239
215,1,resi1247
216,1,para1316
217,0,chuv1256
218,0,oldb1248
219,0,pael1234
220,0,nyaw1247
221,0,weyt1237
222,0,sill1240
223,1,chan1296
224,0,giyu1238
225,0,coro1248
226,0,lowe1436
227,0,mimi1241
228,0,mink1237
229,0,anga1315
230,0,oldk1238
231,0,ouma1237
232,0,pata1261
233,0,renn1236
234,0,tand1253
235,0,wara1290
236,0,nort2757
237,0,fran1264
238,0,abip1241
239,0,kent1253
240,0,carg1238
241,0,tall1235
242,0,papu1254
243,0,dhun1239
244,0,yaga1256
245,0,yaga1262
246,0,sakh1245
247,0,kuri1271
248,0,tolc1238
249,0,arma1243
250,0,oldc1254
251,0,pael1234
252,0,west2616
253,0,kama1354
254,103,udih1248
255,154,ulch1241
256,190,mika1239
257,200,mogh1245
258,160,beav1236
259,200,aleu1260
260,200,wail1242
261,175,babi1235
262,200,afro1253
263,200,afro1254
264,150,helg1238
265,300,koyu1237
266,250,coca1259
267,300,inar1241
268,150,kett1243
269,120,ingr1248
270,120,ilit1241
271,300,mura1273
272,150,idoo1234
273,200,budu1248
274,210,karo1305
275,105,stra1244
276,198,gily1242
277,300,tani1257
278,125,ngan1291
279,200,zena1248
280,134,yugh1239
281,140,yola1237
282,140,cypr1248
283,210,akhv1239
284,200,dger1238
285,200,rasa1243
286,130,ghod1238
287,271,jaru1257
288,210,botl1242
289,200,atsu1245
290,200,ling1267
291,290,paum1247
292,200,toro1255
293,110,buna1275
294,130,kwin1243
295,200,jude1255
296,169,kitj1240
297,250,foxx1245
298,200,waru1265
299,220,siaw1243
300,255,pomo1273
301,200,juri1235
302,200,uruu1244
303,150,muin1242
304,142,daww1239
305,210,nang1262
306,156,miri1266
307,250,reye1240
308,140,suru1263
309,190,ocai1244
310,250,cacu1241
311,250,nort3153
312,100,nezp1238
313,125,iran1263
314,200,aika1237
315,150,cara1245
316,100,anse1238
317,270,cabi1241
318,220,siri1274
319,230,mehi1240
320,240,bare1276
321,200,aran1261
322,229,tuba1280
323,280,juru1256
324,290,murk1238
325,290,ambr1239
326,170,awet1244
327,112,cuma1240
328,110,darl1243
329,270,kaxa1239
330,220,kiss1246
331,250,khap1242
332,180,maii1238
333,232,nyun1247
334,140,tawo1244
335,170,ukur1240
336,100,ukwa1238
337,116,guma1253
338,240,guma1253
339,220,chin1475
340,120,trum1247
341,200,mbal1255
342,150,vish1243
343,250,nant1250
344,208,twee1234
345,100,yulp1239
346,200,yulp1239
347,100,yulp1238
348,200,yulp1238
349,207,bana1307
350,280,jede1239
351,178,yano1269
352,10,ainu1252
353,8,hupa1239
354,11,alut1245
355,10,hann1241
356,12,hann1241
357,14,hann1241
358,19,hann1241
359,15,lowe1425
360,4,coeu1236
361,3,bade1240
362,5,hinu1240
363,7,kusu1250
364,20,manc1252
365,20,wash1253
366,8,dyir1250
367,12,bira1253
368,2,ters1235
369,20,novi1234
370,20,vola1234
371,4,bald1241
372,2,yugh1239
373,6,cahu1264
374,10,arik1262
375,12,qawa1238
376,5,arut1244
377,10,gros1243
378,20,kiow1266
379,10,pawn1254
380,5,wint1259
381,12,mapo1246
382,4,kana1286
383,20,aben1250
384,4,taba1264
385,10,saar1237
386,12,karo1304
387,3,medn1235
388,10,paun1241
389,4,tane1237
390,12,alaw1244
391,2,cham1318
392,3,nuuu1241
393,12,cent2140
394,4,guat1253
395,6,natc1249
396,10,tana1281
397,10,kata1270
398,10,cari1279
399,5,orow1243
400,8,yawa1261
401,3,saba1268
402,5,abag1245
403,20,yaba1248
404,8,kaya1319
405,6,sout3266
406,11,liki1241
407,5,kano1245
408,20,atsa1242
409,3,kuyu1236
410,5,cauq1239
411,2,nonu1241
412,2,giyu1238
413,8,juml1239
414,10,saoc1239
415,20,lumm1243
416,15,mara1386
417,15,waga1259
418,15,mari1424
419,20,mari1424
420,2,mawa1271
421,4,mirn1245
422,5,ngad1258
423,10,ngad1258
424,4,ouma1237
425,5,wadj1254
426,3,wang1290
427,6,yawu1244
428,5.5,yayg1236
429,6,baca1243
430,15,mari1417
431,8,mari1419
432,3,mart1254
433,10,piru1241
434,10,hulu1246
435,8,mala1544
436,4,inap1242
437,4,pudi1238
438,19,yulp1239
439,19,yulp1238
440,14,west2630
441,10,ainu1240
442,10,hokk1243
443,15,tund1254
444,10,fore1265
445,3,kake1234
446,10,latu1238
447,11,fren1280
448,79000,luxe1244
449,107000,bret1244
450,80000,sout2679
451,110000,occi1239
452,90000,scot1243
453,99200,scot1243
454,85000,eski1264
455,90000,inui1246
456,112960,arom1237
457,100000,astu1245
458,110000,astu1245
459,100000,astu1246
460,110000,astu1246
461,96860,erzy1239
462,116280,gilb1244
463,96085,daur1238
464,74499,voro1243
465,77000,brit1235
466,100000,iroq1247
467,108000,kash1274
468,90000,sara1340
469,100000,norm1245
470,115000,papi1253
471,87119,noga1249
472,73000,sese1246
473,84000,turo1239
474,93000,abur1243
475,70100,burj1242
476,80000,ciac1237
477,116700,ejag1239
478,80000,auve1239
479,80000,auve1240
480,92000,ixil1251
481,100000,fana1235
482,85000,jude1258
483,75000,lepc1244
484,80000,nara1262
485,100000,tada1238
486,86000,shel1236
487,108469,czec1259
488,83259,yimc1240
489,106000,jude1256
490,92600,bask1236
491,80000,zaiw1241
492,112900,taha1241
493,85000,isth1244
494,91000,omii1238
495,110000,prek1239
496,100000,gall1276
497,72000,agar1251
498,96000,paiw1248
499,80000,atay1247
500,98000,kwer1261
501,94700,male1284
502,100000,sass1235
503,100000,arbe1236
504,110000,beli1260
505,100000,jiva1245
506,87000,ende1246
507,110000,ende1246
508,110000,kang1289
509,110000,sabu1255
510,72000,nort2972
511,90000,torw1241
512,105000,lioo1240
513,80597,galo1242
514,95200,aush1241
515,91000,sout3056
516,100000,digo1242
517,100000,mwan1247
518,86000,mula1253
519,110000,ibal1244
520,116000,nort2976
521,73567,asha1243
522,77700,warj1253
523,110000,yaka1277
524,110000,yako1252
525,80000,ngiz1242
526,101000,sibe1250
527,98000,adon1237
528,100000,lari1253
529,80000,biao1257
530,100000,dava1250
531,100000,kere1283
532,100000,ngit1239
533,78000,nort2883
534,100000,tail1248
535,95000,tbol1240
536,90000,yaru1256
537,100000,ntom1248
538,79000,saga1256
539,100000,bahr1247
540,75000,balk1253
541,91000,kanj1259
542,105000,sout2784
543,310,rata1245
544,420,skol1241
545,600,sons1242
546,600,sout2674
547,600,corn1251
548,500,tlin1245
549,450,paci1278
550,500,solr1238
551,360,tutc1236
552,550,gull1241
553,448,jaqa1244
554,350,kild1236
555,500,kild1236
556,400,norf1243
557,389,pira1253
558,600,selk1253
559,600,yank1247
560,400,yona1241
561,500,amar1274
562,400,daha1245
563,370,koas1236
564,400,shab1252
565,450,puka1242
566,532,pitc1234
567,300,turk1288
568,300,yima1243
569,400,cimb1238
570,400,beel1236
571,400,wamp1249
572,600,hixk1239
573,500,cham1309
574,300,abin1243
575,340,para1310
576,400,pela1242
577,550,eska1234
578,482,cara1272
579,440,thom1243
580,310,tema1239
581,570,tuyu1244
582,400,tatu1247
583,300,vedd1240
584,319,kwam1249
585,600,chac1251
586,500,kwak1269
587,600,para1299
588,400,hind1273
589,310,amah1246
590,370,ando1256
591,514,acha1250
592,600,baha1256
593,500,waim1255
594,600,yale1246
595,400,siri1273
596,340,gard1245
597,377,yind1247
598,500,toll1241
599,590,male1292
600,600,kama1373
601,530,koko1269
602,513,maca1259
603,340,nort3153
604,320,mati1255
605,570,enaw1238
606,370,nade1244
607,400,zeem1242
608,320,waur1244
609,550,sion1247
610,300,bara1367
611,350,suya1243
612,350,awyi1241
613,350,coas1300
614,400,yuhu1238
615,400,emer1243
616,500,caqu1242
617,500,kumi1248
618,500,kwat1246
619,310,dhan1270
620,400,east2472
621,300,finl1235
622,388,kuku1273
623,500,kola1285
624,340,lore1244
625,600,malu1245
626,371,maun1240
627,312,narr1259
628,600,nila1244
629,350,kada1286
630,500,tebu1240
631,300,trim1239
632,300,zaca1242
633,500,ikpe1245
634,300,swis1235
635,500,tibe1277
636,430,yaro1235
637,450,mouw1234
638,1200,auhe1237
639,1000,naur1243
640,730,mich1243
641,670,gwic1235
642,845,tlin1245
643,391200,luxe1244
644,570000,malt1254
645,600000,reun1238
646,410000,sora1254
647,345530,ming1252
648,526000,occi1239
649,542000,occi1239
650,480000,fris1239
651,575900,adyg1241
652,445000,aram1259
653,450000,astu1245
654,450000,astu1246
655,457900,sile1253
656,340500,dhiv1236
657,600000,bata1293
658,367000,bert1248
659,500000,bugi1244
660,431000,chav1241
661,341270,fiji1243
662,480000,khmu1255
663,480000,khmu1256
664,500000,uppe1455
665,552740,crim1257
666,575000,clas1252
667,583410,kara1467
668,460000,iraq1241
669,600000,lozi1239
670,431800,kalm1244
671,600000,mori1278
672,478000,kork1243
673,350000,masb1238
674,500000,sang1327
675,599000,sang1327
676,599250,osse1245
677,415700,sran1240
678,413257,samo1305
679,415720,samo1305
680,500000,pica1241
681,400000,tetu1245
682,463500,tetu1245
683,430000,tati1242
684,450000,yaku1245
685,490000,awng1244
686,420000,nucl1418
687,425000,brou1236
688,347000,benc1235
689,500000,kaqc1270
690,347005,goem1240
691,578000,ewon1239
692,420000,kekc1242
693,397000,duru1249
694,450000,lahu1253
695,440000,lobi1245
696,400000,ngas1240
697,500000,ligu1248
698,500000,lush1249
699,426212,kumy1244
700,550000,mixt1427
701,500000,asut1235
702,500000,tora1261
703,350000,tzot1259
704,355000,zigu1242
705,355000,zigu1244
706,380000,fiji1242
707,470000,kome1238
708,488900,kuyy1240
709,390000,buna1280
710,420000,limb1266
711,560000,akha1245
712,350000,peng1244
713,500000,samo1265
714,400000,cham1328
715,354500,prov1235
716,470000,mari1278
717,563670,balk1252
718,500000,tsot1242
719,591448,colo1257
720,400000,iban1267
721,480000,adho1243
722,464000,balk1254
723,538480,vlax1238
724,350000,reja1240
725,363000,kama1363
726,350000,kuvi1243
727,395124,pnar1238
728,410000,jola1263
729,365316,east2328
730,470000,east2328
731,482000,east2328
732,400000,mara1382
733,500000,tama1365
734,570000,korw1242
735,580000,lala1264
736,500000,puno1238
737,382000,taab1238
738,341400,west2710
739,460000,west2800
740,511000,mixt1422
741,1000000,yidd1255
742,750000,basq1248
743,190110,abkh1244
744,141000,iris1253
745,120000,russ1255
746,185000,urum1249
747,169369,nava1243
748,150000,torn1244
749,148000,penn1240
750,180000,atha1247
751,134000,mari1414
752,117500,adyg1241
753,150000,bant1288
754,150000,dhat1238
755,160000,bahn1262
756,200000,dong1285
757,171000,dzon1239
758,171000,nucl1307
759,151000,cors1241
760,151000,cors1242
761,120000,cuyo1237
762,134000,bada1257
763,148720,gaga1249
764,200000,koda1255
765,179467,loth1237
766,120000,hiri1237
767,180000,hiri1237
768,140000,paez1247
769,175000,sika1262
770,169000,samo1305
771,200000,pica1241
772,126900,taba1259
773,186010,tong1325
774,156000,komi1268
775,152000,tigr1271
776,122000,tokp1240
777,152000,tuuu1240
778,170000,sant1432
779,180000,chol1282
780,190000,gari1256
781,150000,huas1242
782,121000,kusa1250
783,130000,mamb1306
784,150000,tumz1238
785,140000,nafu1238
786,137000,ladi1251
